Score,Internship Name,Internship Value,Number Of Internship,Year
503,labo,490,4,2023
503.3,labo,490,4,2023
503.6,labo,490,4,2023
504.3,labo,490,4,2023
505.2,labo,490,4,2023
506.5,labo,490,4,2023
506.5,labo,494,3,2023
503,labo,494,3,2023
503.1,labo,494,3,2023
503.4,labo,494,3,2023
505.1,labo,494,3,2023
505.9,labo,494,3,2023
502.5,labo,362,2,2023
502.9,med,293,2,2023
504,labo,362,2,2023
505.3,med,293,2,2023
506,labo,362,2,2023
506.1,oph,298,2,2023
503.9,med,346,1,2023
504.5,anap,296,1,2023
504.6,labo,211,1,2023
504.9,med,346,1,2023
505.1,oph,288,1,2023
505.9,pedia,325,1,2023
504.6,labo,207,1,2023
506.3,pedia,304,1,2023
506.9,med,350,1,2023
509.6,anap,296,1,2023
499.8,med,350,1,2023
500.1,oph,296,1,2023
504.6,labo,207,1,2023
506.3,pedia,304,1,2023
506.9,med,350,1,2023
509.6,anap,296,1,2023
499.8,med,350,1,2023
500.1,oph,296,1,2023
504.6,labo,207,1,2023
506.3,pedia,304,1,2023
506.9,med,350,1,2023
509.6,anap,296,1,2023
499.8,med,350,1,2023
500.1,oph,296,1,2023
506.9,med,350,1,2023
509.6,anap,296,1,2023
499.8,med,350,1,2023
500.1,oph,296,1,2023
504.6,labo,207,1,2023
506.3,pedia,304,1,2023
506.9,med,350,1,2023
509.6,anap,296,1,2023
499.8,med,350,1,2023
500.1,oph,296,1,2023
504.6,labo,207,1,2023
506.3,pedia,304,1,2023
506.9,med,350,1,2023
509.6,anap,296,1,2023
499.8,med,350,1,2023
500.1,oph,296,1,2023